sample,logged_at,pm10,pm25
255,2023-10-25 17:31:37,19.67,10.52
256,2023-10-25 17:34:03,21.0,11.42
257,2023-10-25 17:36:30,21.0,11.98
258,2023-10-25 17:38:57,20.62,11.88
259,2023-10-25 17:41:23,20.62,11.96
260,2023-10-25 17:43:49,22.72,12.82
261,2023-10-25 17:46:16,23.12,13.18
262,2023-10-25 17:48:44,23.2,13.65
263,2023-10-25 17:51:16,27.67,15.19
264,2023-10-25 17:53:43,31.88,16.02
265,2023-10-25 17:56:09,33.51,16.28
266,2023-10-25 17:58:35,31.34,16.24
267,2023-10-25 18:01:01,30.52,16.54
268,2023-10-25 18:03:27,32.72,17.04
269,2023-10-25 18:05:54,34.35,17.18
270,2023-10-25 18:08:19,34.26,17.31
271,2023-10-25 18:10:46,33.38,17.19
272,2023-10-25 18:13:12,33.58,17.22
273,2023-10-25 18:15:39,33.67,17.42
274,2023-10-25 18:18:05,33.16,17.8
275,2023-10-25 18:20:37,33.52,17.88
276,2023-10-25 18:23:20,35.39,18.2
277,2023-10-25 18:25:47,34.24,18.16
278,2023-10-25 18:28:16,33.72,17.99
279,2023-10-25 18:30:42,37.58,19.23
280,2023-10-25 18:33:08,39.1,20.3
281,2023-10-25 18:35:34,43.29,20.92
282,2023-10-25 18:38:00,43.58,19.88
283,2023-10-25 18:40:27,42.86,20.95
284,2023-10-25 18:42:53,45.38,21.48
285,2023-10-25 18:45:19,45.54,21.5
286,2023-10-25 18:47:45,40.86,20.0
287,2023-10-25 18:50:11,35.7,18.95
288,2023-10-25 18:55:04,38.28,18.8
289,2023-10-25 18:57:30,38.0,18.42
290,2023-10-25 18:59:56,36.38,17.72
291,2023-10-25 19:02:22,36.61,17.54
292,2023-10-25 19:04:48,39.31,18.04
293,2023-10-25 19:07:17,39.02,17.89
294,2023-10-25 19:09:42,37.95,17.38
295,2023-10-25 19:12:09,38.26,17.54
296,2023-10-25 19:17:01,37.74,17.49
297,2023-10-25 19:19:27,38.21,17.2
298,2023-10-25 19:21:54,34.96,16.75
299,2023-10-25 19:24:20,34.85,17.31
300,2023-10-25 19:26:46,33.08,16.66
301,2023-10-25 19:29:12,33.5,17.19
302,2023-10-25 19:31:38,33.36,17.82
303,2023-10-25 19:34:04,34.7,17.52
304,2023-10-25 19:36:30,37.02,17.77
305,2023-10-25 19:41:23,37.6,17.84
306,2023-10-25 19:43:48,35.86,17.73
307,2023-10-25 19:46:14,38.52,18.16
308,2023-10-25 19:48:43,41.64,18.62
309,2023-10-25 19:51:10,38.9,18.0
310,2023-10-25 19:53:40,36.12,17.71
311,2023-10-25 19:56:08,36.56,18.17
312,2023-10-25 19:58:34,37.72,18.04
313,2023-10-25 20:01:00,37.65,17.64
314,2023-10-25 20:03:29,42.98,18.9
315,2023-10-25 20:05:55,44.09,19.46
316,2023-10-25 20:08:22,45.97,20.08
317,2023-10-25 20:10:51,50.05,20.84
318,2023-10-25 20:13:17,53.86,21.39
319,2023-10-25 20:15:43,57.38,22.38
320,2023-10-25 20:18:09,51.51,21.88
321,2023-10-25 20:23:01,119.48,27.88
322,2023-10-25 20:25:27,110.5,27.78
323,2023-10-25 20:27:55,67.99,25.14
324,2023-10-25 20:30:21,75.66,25.22
325,2023-10-25 20:32:47,94.58,27.65
326,2023-10-25 20:35:14,84.62,26.72
327,2023-10-25 20:37:40,84.96,25.88
328,2023-10-25 20:40:07,89.84,26.51
329,2023-10-25 20:42:33,150.88,30.44
330,2023-10-25 20:44:59,301.61,40.78
331,2023-10-25 20:47:27,250.24,38.28
332,2023-10-25 20:49:53,127.04,29.4
333,2023-10-25 20:52:19,100.88,27.17
334,2023-10-25 20:54:45,218.02,34.65
335,2023-10-25 20:57:13,268.66,38.68
336,2023-10-25 20:59:39,232.04,37.15
337,2023-10-25 21:02:05,86.15,27.28
338,2023-10-25 21:04:31,78.92,26.1
339,2023-10-25 21:09:23,76.1,25.25
340,2023-10-25 21:11:49,66.12,25.12
341,2023-10-25 21:14:15,96.78,27.54
342,2023-10-25 21:19:07,155.25,31.32
343,2023-10-25 21:21:33,62.72,25.04
344,2023-10-25 21:23:59,68.9,25.81
345,2023-10-25 21:26:26,329.7,46.19
346,2023-10-25 21:28:51,341.84,45.76
347,2023-10-25 21:31:17,280.04,41.34
348,2023-10-25 21:33:44,166.36,32.67
349,2023-10-25 21:36:11,135.7,29.42
350,2023-10-25 21:38:36,138.66,28.54
351,2023-10-25 21:41:03,153.45,29.48
352,2023-10-25 21:43:29,121.0,27.06
353,2023-10-25 21:45:55,88.6,25.3
354,2023-10-25 21:48:26,60.06,24.38
355,2023-10-25 21:50:52,105.72,26.67
356,2023-10-25 21:53:20,91.1,25.83
357,2023-10-25 21:55:46,59.7,23.58
358,2023-10-25 21:58:11,57.84,22.75
359,2023-10-25 22:00:41,60.74,23.18
360,2023-10-25 22:03:13,74.34,24.02
361,2023-10-25 22:05:40,73.22,24.28
