sample_index,pm25_ugm3,pm10_ugm3
529,3.6,45.2
530,3.7,46.4
531,3.8,48.2
532,3.8,48.7
533,3.9,47.3
534,4.0,55.9
535,4.2,60.0
536,4.2,61.9
537,4.2,63.3
538,4.1,62.4
539,4.2,64.4
540,4.4,67.3
541,4.4,69.4
542,4.5,72.3
543,4.5,71.4
544,4.4,70.4
545,4.3,67.3
546,4.2,65.1
547,4.3,67.7
548,4.3,67.2
549,4.2,65.6
550,4.3,65.9
551,4.3,64.1
552,4.2,64.0
553,4.2,61.1
554,4.2,65.6
555,4.3,66.2
556,4.3,67.3
557,4.4,69.0
558,4.5,75.2
559,4.6,78.5
560,5.0,82.0
561,4.8,80.2
562,4.9,83.3
563,4.9,83.8
564,4.8,75.9
565,4.7,72.7
566,4.7,72.9
567,4.6,70.7
568,4.6,71.1
569,4.5,69.4
570,4.5,67.1
571,4.4,64.8
572,4.4,62.0
573,4.4,62.2
574,4.4,62.3
575,4.5,63.2
576,4.5,63.9
577,4.3,60.9
578,4.3,61.9
579,4.2,59.7
580,4.2,62.5
581,4.2,62.6
582,4.3,65.8
583,4.4,64.6
584,4.5,63.9
585,4.4,64.9
586,4.4,64.4
587,5.4,65.8
588,5.9,59.9
589,8.1,59.7
590,9.0,57.4
591,10.1,61.1
592,10.8,58.7
593,11.5,60.5
594,11.9,59.6
595,12.8,60.7
596,13.3,61.3
597,13.6,61.1
598,13.8,60.5
599,14.0,62.6
600,13.8,62.6
601,13.9,62.7
602,14.0,62.7
603,14.0,61.8
604,13.9,61.2
605,13.9,60.3
606,14.0,59.4
607,14.2,60.0
608,14.3,58.5
609,14.4,59.5
610,14.5,54.9
611,14.6,55.0
612,14.6,52.3
613,14.7,50.9
614,14.7,46.7
615,14.9,44.6
616,15.0,43.9
617,13.9,41.4
618,13.6,42.0
619,11.6,39.4
620,10.4,37.0
621,9.5,33.8
622,8.8,32.5
623,8.3,30.4
624,7.9,30.8
625,7.3,29.9
626,7.1,28.5
627,7.1,29.8
628,6.9,29.6
629,6.9,28.7
630,6.9,28.1
631,7.0,28.8
632,7.1,32.3
633,7.4,34.8
634,7.6,39.4
635,8.0,46.2
636,8.2,55.1
637,8.3,63.0
638,8.6,71.9
639,8.8,80.9
640,8.8,82.5
641,8.9,84.2
642,9.0,86.1
643,9.1,91.1
644,9.1,94.8
645,9.4,100.6
646,9.4,103.4
647,9.9,111.4
648,10.1,118.3
649,10.3,127.6
650,10.6,136.6
651,10.8,141.1
652,11.2,150.7
653,11.5,157.5
654,11.5,162.2
655,11.6,170.2
656,11.4,172.0
657,11.4,177.5
658,11.6,185.4
659,11.8,189.9
660,11.9,195.4
661,12.2,203.3
662,12.3,201.2
663,12.1,204.2
664,12.0,200.8
665,11.7,197.5
666,11.4,189.6
667,11.2,181.8
668,10.8,173.9
669,10.8,177.1
670,11.2,189.0
671,11.1,193.4
672,10.9,191.5
673,10.7,188.4
674,10.7,192.0
675,10.4,188.8
676,10.1,187.6
677,9.6,181.0
678,9.2,174.0
679,8.8,164.7
680,8.3,155.1
681,7.8,150.4
682,7.4,141.6
683,6.9,135.4
684,6.7,129.9
685,6.4,121.5
686,6.2,118.1
687,5.9,111.0
688,5.6,101.9
689,5.2,95.5
690,5.1,89.7
691,4.6,81.0
692,4.4,78.8
693,4.2,72.8
694,4.1,71.1
695,3.9,67.2
696,3.8,65.5
697,3.8,64.7
698,3.8,64.9
699,3.5,51.9
700,3.1,40.3
701,3.0,34.7
702,3.0,33.6
703,3.0,31.8
704,2.8,24.6
705,2.8,22.6
706,2.8,20.4
707,2.7,17.5
708,2.7,15.9
709,2.6,15.3
710,2.6,15.2
711,2.6,14.9
712,2.6,14.0
713,2.6,13.0
714,2.5,12.8
715,2.5,12.5
716,2.5,12.5
717,2.5,12.5
718,2.4,12.4
719,2.5,12.9
720,2.4,12.9
721,2.5,13.0
722,2.5,13.1
723,2.5,14.2
724,2.5,14.5
725,2.5,14.5
726,2.5,14.5
727,2.4,14.4
728,2.4,12.9
729,2.3,12.5
730,2.2,10.3
731,2.1,8.8
732,2.1,8.8
733,2.0,7.9
734,2.0,7.0
735,1.9,6.0
736,1.8,5.5
737,1.8,5.5
738,1.8,6.1
739,1.8,6.1
740,1.8,6.1
741,1.8,6.0
742,1.8,6.5
743,1.8,8.1
744,1.8,8.2
745,1.8,7.8
746,1.8,7.7
747,1.8,9.5
748,1.8,9.9
749,1.9,10.5
750,2.0,12.8
751,2.0,14.7
752,2.0,16.5
753,2.0,17.1
754,2.1,18.4
755,2.1,20.9
756,2.3,25.1
757,2.5,29.4
758,2.5,30.2
759,2.7,31.5
760,2.7,32.9
761,3.0,34.6
762,3.1,37.6
763,3.1,38.0
764,3.2,39.1
765,3.2,39.5
766,3.3,39.8
767,3.3,39.8
768,3.3,39.2
769,3.3,39.6
770,3.3,39.5
771,3.3,39.6
772,3.3,39.4
773,3.3,37.8
774,3.3,38.5
775,3.4,39.0
776,3.4,40.5
777,3.5,41.3
778,3.5,41.0
779,3.4,41.2
780,3.3,39.0
781,3.3,37.2
782,3.3,35.4
783,3.2,33.7
784,3.2,32.0
785,3.1,29.6
786,3.0,25.6
787,2.9,22.0
788,2.9,21.3
789,2.7,19.9
790,2.6,18.5
791,2.4,16.7
792,2.3,13.7
793,2.3,13.9
794,2.3,13.2
795,2.2,12.8
796,2.2,12.8
797,2.2,12.8
798,2.2,12.8
799,2.2,12.4
800,2.1,12.3
801,2.1,12.4
802,2.1,11.8
803,2.2,13.9
804,2.2,13.3
805,2.2,12.8
806,2.2,11.6
807,2.2,9.1
808,2.2,8.9
809,2.2,7.8
810,2.2,7.9
811,2.2,7.8
812,2.1,7.6
813,2.2,7.7
814,2.2,8.4
815,2.2,9.3
816,2.2,9.1
817,2.3,9.1
818,2.4,10.6
819,2.6,13.2
820,2.9,18.3
821,3.3,20.2
822,4.2,27.6
823,5.5,41.0
824,6.5,45.5
825,7.5,58.1
826,8.2,68.4
827,9.1,78.4
828,9.7,88.0
829,10.4,92.3
830,11.1,105.5
831,11.5,114.6
832,12.5,130.5
833,13.0,136.4
834,13.3,141.5
835,13.6,147.4
836,13.8,151.3
837,14.0,154.7
838,14.2,159.1
839,14.2,159.1
840,14.3,159.3
841,14.3,160.3
842,14.5,163.0
843,14.5,163.8
844,14.7,167.4
845,14.8,169.2
846,14.9,171.6
847,14.8,172.2
848,14.8,172.0
849,14.7,170.1
850,14.6,165.3
851,14.4,164.5
852,13.7,158.2
853,12.4,144.9
854,11.7,141.3
855,11.0,133.4
856,10.3,123.0
857,9.5,113.4
858,8.8,104.0
859,8.4,100.8
860,7.8,91.5
861,7.7,86.7
862,6.8,72.1
863,6.3,65.7
864,6.0,61.0
865,5.9,61.3
866,5.7,57.1
867,5.6,59.5
868,5.4,57.2
869,5.6,60.6
870,5.9,64.9
871,6.1,68.3
872,6.2,67.3
873,6.3,67.8
874,6.7,71.8
875,7.0,77.7
876,7.1,77.4
877,7.5,81.0
878,7.9,87.5
879,9.0,89.4
880,9.6,93.5
881,9.6,94.8
882,9.5,94.6
883,9.6,95.2
884,9.5,95.8
885,9.5,94.3
886,9.9,100.1
887,10.3,105.0
888,10.8,112.8
889,11.2,122.2
890,11.8,129.1
891,11.7,128.2
892,11.9,131.4
893,12.3,140.7
894,12.8,152.8
895,13.2,162.8
896,13.9,171.1
897,14.6,178.7
898,15.3,182.4
899,15.8,180.4
900,16.1,181.0
901,16.8,178.0
902,17.0,177.8
903,17.3,178.7
904,17.0,171.3
905,16.9,166.5
906,17.1,168.1
907,17.0,165.9
908,17.0,160.7
909,16.2,161.9
910,15.7,159.3
911,15.9,160.5
912,16.0,161.5
913,16.0,161.2
914,16.1,161.9
915,16.0,160.4
916,15.7,155.8
917,15.7,151.9
918,15.3,146.6
919,14.9,140.1
920,14.2,130.4
921,14.2,129.4
922,14.3,140.2
923,14.3,141.1
924,14.5,140.3
925,14.4,135.3
926,14.5,144.3
927,14.7,149.4
928,14.3,150.9
